Source,Target,Weight
Gernot,Gunther,23
Giselher,Gunther,24
Gernot,Giselher,30
Dankwart,Hagen,36
Hagen,Ortwin,13
Gere,Hagen,2
Eckehart,Hagen,4
Hagen,Volker,55
Hagen,Rumold,5
Dankwart,Ortwin,3
Dankwart,Gere,2
Dankwart,Volker,10
Gere,Ortwin,4
Ortwin,Volker,3
Ortwin,Rumold,3
Ortwin,Sindold,4
Hunold,Ortwin,4
Eckehart,Gere,2
Gere,Volker,2
Gere,Rumold,2
Sindold,Volker,4
Hunold,Volker,3
Rumold,Sindold,3
Hunold,Rumold,2
Hunold,Sindold,7
Dankwart,Sindold,5
Dankwart,Hunold,4
Sieglinde,Siegmund,9
Siegfried,Siegmund,23
Siegfried,Sieglinde,6
Gunther,Kriemhild,39
Kriemhild,Sieglinde,5
Kriemhild,Siegfried,52
Gunther,Sieglinde,3
Gunther,Siegfried,62
Gunther,Hagen,87
Gunther,Siegmund,13
Gernot,Siegmund,2
Gunther,Ortwin,5
Hagen,Siegfried,52
Alberich,Siegfried,6
Gernot,Hagen,32
Ortwin,Siegfried,5
Gernot,Ortwin,7
Gernot,Siegfried,16
Gernot,Ute,8
Gunther,Ute,5
Liudegast,Liudeger,7
Gunther,Liudeger,8
Gunther,Liudegast,7
Hagen,Liudegast,3
Hagen,Liudeger,5
Hagen,Sindold,5
Liudegast,Siegfried,3
Hagen,Hunold,4
Dancwart,Hagen,4
Gunther,Sindold,2
Hunold,Siegfried,3
Dankwart,Gunther,11
Dancwart,Gunther,2
Dancwart,Dankwart,2
Dankwart,Siegfried,8
Liudeger,Siegfried,5
Hagen,Sieglinde,2
Gernot,Sieglinde,2
Gernot,Liudeger,3
Gernot,Volker,5
Siegfried,Sindold,2
Gernot,Sindold,3
Gernot,Hunold,3
Dankwart,Gernot,3
Hagen,Siegmund,2
Gernot,Rumold,2
Siegfried,Ute,3
Gernot,Kriemhild,17
Kriemhild,Ute,8
Giselher,Kriemhild,21
Giselher,Siegfried,13
Brünhild,Gunther,34
Brünhild,Siegfried,31
Kriemhild,Siegmund,27
Brünhild,Kriemhild,35
Brünhild,Hagen,17
Brünhild,Dankwart,2
Brünhild,Siegmund,2
Dankwart,Giselher,6
Giselher,Hagen,30
Brünhild,Ortwin,2
Brünhild,Giselher,4
Brünhild,Ute,6
Giselher,Siegmund,3
Hagen,Kriemhild,77
Kriemhild,Ortwin,4
Siegmund,Ute,2
Sieglinde,Ute,2
Gere,Gunther,6
Gere,Siegfried,6
Gere,Siegmund,2
Gere,Kriemhild,7
Brünhild,Gernot,2
Giselher,Ute,9
Gere,Ute,2
Gere,Gernot,5
Gere,Giselher,5
Eckehart,Siegfried,3
Gunther,Rumold,2
Giselher,Ortwin,3
Kriemhild,Kriemhilt,2
Gernot,Kriemhilt,2
Eckehart,Kriemhild,5
Alberich,Kriemhild,2
Etzel,Kriemhild,61
Etzel,Helche,8
Helche,Kriemhild,8
Helche,Siegfried,2
Etzel,Giselher,8
Gunther,Rüdiger,4
Giselher,Volker,8
Etzel,Gunther,15
Gunther,Helche,2
Etzel,Siegfried,5
Etzel,Rüdiger,6
Etzel,Hagen,60
Hagen,Rüdiger,3
Kriemhild,Rüdiger,2
Etzel,Gernot,9
Hagen,Ute,2
Gotelint,Rüdiger,2
Gibech,Ramung,2
Hawart,Iring,10
Hawart,Irnfried,7
Iring,Irnfried,4
Iring,Kriemhild,4
Blödel,Kriemhild,2
Blödel,Etzel,9
Dietrich,Etzel,17
Dietrich,Kriemhild,10
Blödel,Dietrich,2
Herrat,Kriemhild,2
Etzel,Herrat,2
Helche,Herrat,3
Eckehart,Etzel,2
Etzel,Swemmel,2
Etzel,Warbel,2
Etzel,Gotelint,4
Etzel,Ute,6
Gunther,Swemmel,2
Etzel,Rumold,2
Gunther,Volker,14
Dankwart,Kriemhild,4
Gelpfrat,Hagen,10
Aldrian,Etzel,3
Aldrian,Hagen,2
Else,Hagen,4
Else,Gelpfrat,3
Dankwart,Else,2
Gotelint,Gunther,3
Gotelint,Hagen,3
Dietrich,Wolfhart,8
Dietrich,Hagen,36
Kriemhild,Volker,7
Dietrich,Gunther,29
Dietrich,Gernot,2
Etzel,Volker,13
Hagen,Walther,6
Hagen,Hildegund,3
Hildegund,Walther,2
Dietrich,Volker,4
Dietrich,Giselher,2
Hagen,Hawart,8
Hagen,Iring,29
Hagen,Wolfhart,4
Dankwart,Etzel,5
Etzel,Wolfhart,3
Hildebrand,Kriemhild,4
Blödel,Siegfried,4
Blödel,Dankwart,10
Blödel,Hagen,4
Etzel,Ortlieb,2
Hagen,Ortlieb,4
Blödel,Dancwart,2
Iring,Volker,2
Gunther,Iring,5
Gernot,Iring,3
Giselher,Iring,2
Helfrich,Wolfhart,2
Etzel,Helfrich,2
Dietrich,Helfrich,4
Dietrich,Hildebrand,14
Gunther,Hildebrand,8
Dietrich,Siegestab,3
Helfrich,Hildebrand,2
Hagen,Hildebrand,21
Hildebrand,Wolfhart,6
Hildebrand,Volker,6
Volker,Wolfhart,2
Wolfhart,Wolfwin,2
Gunther,Wolfwin,2
Gerbart,Helfrich,2
Gerbart,Wichart,2
Helfrich,Wichart,2
Gunther,Helfrich,2
Gunther,Wolfhart,7
Giselher,Wolfhart,5
Gernot,Hildebrand,2
