Source,Target,Weight
Gernot,Kriemhild,17
Gernot,Giselher,31
Dancrat,Ute,2
Dankwart,Hagen,39
Hagen,Ortwin,19
Gere,Hagen,3
Eckehart,Hagen,5
Hagen,Volker,49
Hagen,Rumold,6
Dankwart,Ortwin,4
Dankwart,Gere,2
Dankwart,Volker,7
Dankwart,Sindold,6
Gere,Ortwin,5
Ortwin,Volker,4
Ortwin,Rumold,4
Ortwin,Sindold,6
Hunold,Ortwin,5
Eckehart,Gere,2
Gere,Volker,2
Gere,Rumold,3
Gere,Hunold,2
Sindold,Volker,4
Hunold,Volker,3
Rumold,Sindold,3
Hunold,Rumold,3
Hunold,Sindold,8
Dankwart,Hunold,4
Sieglinde,Siegmund,9
Siegfried,Siegmund,20
Siegfried,Sieglinde,8
Gunther,Kriemhild,32
Sieglinde,Sifrit,2
Kriemhild,Sieglinde,4
Kriemhild,Sifrit,5
Siegfried,Sifrit,7
Kriemhild,Siegfried,56
Kriemhild,Kriemhilt,10
Kriemhilt,Siegfried,8
Gunther,Sieglinde,3
Gunther,Siegfried,74
Gunther,Hagen,56
Gunther,Siegmund,9
Gernot,Siegmund,3
Gernot,Gunther,14
Gunther,Ortwin,6
Hagen,Siegfried,56
Nibelung,Siegfried,13
Alberich,Siegfried,9
Alberich,Nibelung,7
Gernot,Hagen,33
Ortwin,Siegfried,5
Gernot,Ortwin,6
Gernot,Siegfried,15
Siegmund,Sifrit,3
Hagen,Siegmund,3
Hagen,Sifrit,2
Gernot,Ute,7
Gunther,Ute,6
Kriemhild,Swemmel,2
Liudegast,Liudeger,9
Gunther,Liudeger,9
Gunther,Liudegast,7
Hagen,Liudegast,3
Hagen,Liudeger,5
Liudegast,Siegfried,4
Liudeger,Siegfried,8
Hagen,Sindold,6
Hagen,Hunold,5
Gunther,Sindold,2
Dankwart,Gunther,7
Dankwart,Siegfried,9
Hagen,Sieglinde,2
Gernot,Sieglinde,2
Gernot,Liudeger,3
Gernot,Volker,4
Siegfried,Sindold,3
Hunold,Siegfried,3
Gernot,Sindold,3
Gernot,Hunold,3
Dankwart,Gernot,3
Gernot,Rumold,2
Siegfried,Ute,3
Kriemhild,Ute,10
Giselher,Kriemhild,25
Giselher,Siegfried,12
Giselher,Gunther,15
Brünhild,Siegfried,25
Kriemhild,Siegmund,19
Brünhild,Kriemhild,28
Brünhild,Gunther,39
Brünhild,Dankwart,2
Brünhild,Hagen,12
Brünhild,Siegmund,2
Dankwart,Giselher,6
Gere,Ute,3
Gere,Kriemhild,11
Gere,Siegfried,7
Ortwin,Ute,2
Brünhild,Ute,3
Brunhilt,Gunther,5
Brunhilt,Kriemhild,5
Brunhilt,Brünhild,2
Hagen,Nibelung,14
Kriemhilt,Ute,2
Hagen,Kriemhild,85
Kriemhild,Ortwin,4
Eckehart,Kriemhild,6
Siegmund,Ute,2
Sieglinde,Ute,2
Gunther,Nibelung,3
Gunther,Kriemhilt,4
Brunhilt,Siegfried,2
Gere,Gunther,6
Gere,Siegmund,2
Giselher,Ute,10
Gere,Gernot,5
Gere,Giselher,8
Eckehart,Siegfried,3
Gunther,Rumold,2
Kriemhild,Nibelung,19
Brünhild,Kriemhilt,2
Giselher,Ortwin,3
Hagen,Kriemhilt,9
Nibelung,Siegmund,6
Etzel,Gere,2
Etzel,Giselher,10
Etzel,Kriemhild,73
Etzel,Siegfried,7
Etzel,Gernot,12
Giselher,Hagen,27
Giselher,Nibelung,5
Gernot,Nibelung,3
Alberich,Gernot,2
Alberich,Kriemhild,2
Gernot,Kriemhilt,2
Etzel,Helche,12
Helche,Kriemhild,13
Helche,Siegfried,2
Gotelint,Kriemhild,6
Etzel,Gotelint,7
Gotelint,Rüdiger,6
Gotelint,Helche,3
Hagen,Rüdiger,3
Gunther,Rüdiger,2
Giselher,Volker,5
Gotelint,Hagen,4
Hagen,Ruedeger,2
Gotelint,Ruedeger,3
Gotelint,Gunther,2
Gunther,Ruedeger,2
Etzel,Gunther,8
Hagen,Helche,2
Etzel,Hagen,68
Hagen,Ute,2
Etzel,Kriemhilt,28
Kriemhild,Rüdiger,3
Kriemhild,Ruedeger,2
Gotelint,Nibelung,2
Gibech,Ramung,2
Gibech,Hornboge,2
Hawart,Iring,10
Hawart,Irnfried,7
Iring,Irnfried,4
Iring,Kriemhild,4
Blödel,Kriemhild,2
Blödel,Etzel,10
Dietrich,Etzel,16
Dietrich,Kriemhild,12
Blödel,Dietrich,3
Blödel,Kriemhilt,3
Etzel,Gibech,3
Gibech,Kriemhild,2
Dietrich,Kriemhilt,3
Etzel,Swemmel,3
Helche,Herrat,4
Herrat,Kriemhild,2
Etzel,Herrat,2
Eckehart,Etzel,2
Etzel,Warbel,2
Etzel,Ute,6
Etzel,Rumold,2
Kriemhild,Rumold,2
Gunther,Volker,2
Gelpfrat,Hagen,15
Aldrian,Etzel,3
Aldrian,Hagen,2
Else,Hagen,6
Amelrich,Hagen,2
Else,Gelpfrat,3
Dankwart,Else,2
Etzel,Hildebrand,3
Hildebrand,Wolfhart,7
Dietrich,Wolfhart,8
Dietrich,Hagen,41
Dankwart,Kriemhild,2
Dietrich,Nibelung,2
Etzel,Nibelung,3
Dietrich,Gernot,2
Etzel,Volker,14
Hagen,Walther,4
Dietrich,Gunther,5
Dietrich,Giselher,2
Kriemhild,Volker,7
Hagen,Hawart,8
Hagen,Iring,28
Hagen,Wolfhart,4
Dankwart,Etzel,4
Etzel,Wolfhart,3
Hildebrand,Kriemhild,3
Dietrich,Siegfried,2
Blödel,Siegfried,6
Blödel,Dankwart,7
Blödel,Hagen,4
Etzel,Ortliep,2
Etzel,Ortlieb,2
Hagen,Ortlieb,4
Iring,Volker,3
Gernot,Iring,3
Giselher,Iring,3
Etzel,Helfrich,2
Dietrich,Helfrich,4
Dietrich,Hildebrand,14
Dietrich,Siegestab,3
Wolfbrand,Wolfhart,2
Helfrich,Wolfbrand,2
Helfrich,Hildebrand,2
Hagen,Hildebrand,22
Hildebrand,Volker,6
Wolfhart,Wolfwin,2
Gerbart,Helfrich,2
Gerbart,Wichart,2
Helfrich,Wichart,2
Siegestab,Wolfhart,2
Giselher,Wolfhart,5
Gernot,Hildebrand,2
