Source,Target,Weight
Gunther,Kriemhild,45
Gernot,Kriemhild,16
Giselher,Kriemhild,20
Gernot,Gunther,20
Giselher,Gunther,20
Gunther,Ute,2
Gernot,Giselher,33
Gernot,Ute,5
Giselher,Ute,6
Dankwart,Hagen,37
Hagen,Ortwin,15
Gere,Hagen,3
Eckehart,Hagen,3
Hagen,Volker,49
Hagen,Rumold,3
Dankwart,Ortwin,4
Dankwart,Gere,2
Dankwart,Volker,10
Dankwart,Sindold,5
Gere,Ortwin,4
Ortwin,Volker,5
Ortwin,Rumold,3
Ortwin,Sindold,6
Hunold,Ortwin,5
Gere,Volker,3
Gere,Rumold,3
Rumold,Volker,2
Sindold,Volker,4
Hunold,Volker,3
Rumold,Sindold,3
Hunold,Rumold,3
Hunold,Sindold,7
Dankwart,Hunold,3
Siegfried,Siegmund,21
Siegfried,Sieglinde,9
Sieglinde,Siegmund,8
Kriemhild,Sieglinde,5
Kriemhild,Kriemhilt,4
Kriemhilt,Siegfried,14
Kriemhild,Siegfried,79
Gunther,Sieglinde,5
Gunther,Siegfried,81
Gunther,Hagen,70
Gunther,Siegmund,7
Gernot,Siegmund,2
Hagen,Siegfried,62
Nibelung,Siegfried,15
Alberich,Nibelung,6
Alberich,Siegfried,4
Alberich,Hagen,2
Ortwin,Siegfried,9
Gernot,Ortwin,6
Gernot,Hagen,25
Gernot,Siegfried,25
Siegfried,Sifrit,4
Hagen,Sifrit,2
Kriemhild,Swemmel,2
Siegfried,Swemmel,2
Liudegast,Liudeger,9
Hagen,Liudegast,2
Hagen,Liudeger,4
Gunther,Swemmel,3
Hagen,Sindold,4
Gunther,Liudeger,10
Gunther,Liudegast,6
Liudegast,Siegfried,4
Hagen,Hunold,3
Dankwart,Siegfried,9
Liudeger,Siegfried,7
Gernot,Sieglinde,2
Gernot,Liudeger,3
Gernot,Volker,7
Siegfried,Sindold,3
Hunold,Siegfried,3
Gernot,Sindold,3
Gernot,Hunold,3
Siegfried,Volker,3
Kriemhild,Ute,7
Kriemhild,Sifrit,4
Giselher,Siegfried,15
Brünhild,Gunther,43
Brünhild,Hagen,16
Brünhild,Siegfried,40
Brünhild,Kriemhild,35
Dancwart,Dankwart,3
Dancwart,Hagen,3
Brünhild,Dankwart,2
Dankwart,Gunther,7
Gunther,Nibelung,3
Brünhild,Gernot,2
Siegfried,Ute,8
Gere,Ute,3
Gere,Kriemhild,9
Gere,Siegfried,7
Ortwin,Ute,2
Brunhilt,Gunther,6
Brunhilt,Kriemhild,6
Brunhilt,Brünhild,2
Hagen,Nibelung,16
Kriemhild,Nibelung,14
Siegmund,Ute,2
Kriemhild,Siegmund,15
Sieglinde,Ute,2
Brunhilt,Siegfried,3
Gunther,Kriemhilt,4
Gere,Gunther,3
Brünhild,Giselher,2
Brünhild,Ute,2
Brünhild,Kriemhilt,3
Hagen,Kriemhild,55
Kriemhild,Ortwin,2
Giselher,Ortwin,2
Hagen,Kriemhilt,2
Nibelung,Siegmund,5
Giselher,Hagen,22
Gernot,Nibelung,2
Giselher,Nibelung,3
Gere,Gernot,4
Gere,Giselher,4
Alberich,Giselher,2
Alberich,Gernot,3
Alberich,Kriemhild,2
Gernot,Kriemhilt,2
Etzel,Kriemhild,56
Etzel,Helche,12
Helche,Kriemhild,12
Etzel,Rüdiger,28
Gunther,Rüdiger,14
Gernot,Rüdiger,22
Giselher,Rüdiger,10
Helche,Rüdiger,5
Kriemhild,Rüdiger,16
Gotelint,Rüdiger,13
Gotelint,Kriemhild,5
Gotelint,Helche,2
Etzel,Gotelint,6
Hagen,Rüdiger,18
Dankwart,Giselher,6
Giselher,Volker,10
Gotelint,Hagen,2
Gotelint,Gunther,3
Etzel,Gunther,18
Etzel,Gernot,11
Hagen,Helche,3
Etzel,Siegfried,5
Etzel,Hagen,44
Etzel,Giselher,8
Botelung,Rüdiger,2
Gotelint,Nibelung,2
Kriemhild,Volker,9
Kriemhild,Pilgrim,2
Etzel,Nibelung,7
Gibech,Ramung,2
Gibech,Hornboge,2
Hawart,Iring,10
Hawart,Irnfried,6
Iring,Irnfried,5
Iring,Kriemhild,4
Blödel,Kriemhild,2
Blödel,Etzel,6
Dietrich,Etzel,13
Blödel,Dietrich,3
Etzel,Gibech,2
Dietrich,Rüdiger,8
Dietrich,Kriemhild,10
Etzel,Swemmel,4
Helche,Herrat,3
Herrat,Kriemhild,2
Etzel,Herrat,2
Eckehart,Kriemhild,2
Etzel,Ute,4
Gunther,Volker,11
Brünhild,Volker,4
Else,Gelpfrat,4
Gelpfrat,Hagen,12
Gelpfrat,Gunther,2
Dankwart,Gelpfrat,2
Else,Hagen,2
Dankwart,Else,2
Dankwart,Rüdiger,2
Hildebrand,Nibelung,3
Etzel,Hildebrand,2
Hildebrand,Wolfhart,5
Dietrich,Wolfhart,5
Dietrich,Hagen,37
Rüdiger,Volker,4
Dankwart,Gernot,3
Dankwart,Kriemhild,2
Dietrich,Siegfried,2
Dietrich,Nibelung,4
Dietrich,Gunther,27
Dietrich,Gernot,3
Etzel,Volker,13
Aldrian,Etzel,2
Aldrian,Hagen,4
Hagen,Walther,6
Hagen,Hildegund,3
Hildegund,Walther,2
Dietrich,Volker,4
Dietrich,Giselher,2
Hagen,Hawart,8
Hagen,Iring,24
Hagen,Wolfhart,7
Dankwart,Etzel,5
Etzel,Wolfhart,3
Hildebrand,Kriemhild,2
Dietrich,Hildebrand,13
Hildebrand,Siegfried,3
Blödel,Siegfried,6
Blödel,Dankwart,11
Blödel,Hagen,3
Etzel,Ortlieb,3
Hagen,Ortlieb,5
Blödel,Dancwart,2
Kriemhild,Ortlieb,2
Rüdiger,Ute,2
Iring,Volker,2
Gunther,Iring,4
Gernot,Iring,3
Giselher,Iring,5
Hagen,Waske,3
Helfrich,Wolfhart,2
Etzel,Helfrich,2
Helfrich,Rüdiger,3
Dietrich,Helfrich,2
Rüdiger,Wolfhart,5
Hildebrand,Rüdiger,8
Gunther,Hildebrand,7
Dietrich,Siegestab,3
Rüdiger,Siegestab,2
Wolfbrand,Wolfhart,3
Helfrich,Wolfbrand,3
Hildebrand,Wolfbrand,2
Helfrich,Hildebrand,2
Hagen,Hildebrand,23
Hildebrand,Volker,4
Wolfhart,Wolfwin,2
Gerbart,Hagen,2
Gerbart,Wichart,2
Gerbart,Helfrich,2
Gerbart,Wolfbrand,2
Helfrich,Wichart,2
Wichart,Wolfbrand,2
Gunther,Helfrich,2
Gunther,Wolfhart,5
Siegestab,Wolfhart,2
Giselher,Wolfhart,4
Ute,Wolfhart,2
Gernot,Hildebrand,2
