Source,Target,Weight
Gernot,Gunther,23
Giselher,Gunther,26
Gunther,Ute,7
Gernot,Giselher,37
Gernot,Ute,9
Giselher,Ute,9
Dankwart,Hagen,32
Hagen,Ortwin,12
Gere,Hagen,2
Eckehart,Hagen,3
Hagen,Volker,46
Hagen,Rumold,5
Dankwart,Ortwin,3
Dankwart,Volker,6
Dankwart,Sindold,4
Dankwart,Hunold,3
Gere,Ortwin,5
Ortwin,Volker,4
Ortwin,Rumold,4
Ortwin,Sindold,6
Hunold,Ortwin,5
Eckehart,Gere,2
Gere,Rumold,3
Sindold,Volker,4
Hunold,Volker,2
Rumold,Sindold,3
Hunold,Rumold,3
Hunold,Sindold,8
Sieglinde,Siegmund,8
Siegfried,Siegmund,11
Siegfried,Sieglinde,4
Gunther,Kriemhild,49
Kriemhild,Kriemhilt,11
Kriemhild,Siegfried,60
Kriemhild,Siegmund,17
Gunther,Sieglinde,4
Gunther,Siegfried,82
Gunther,Hagen,76
Gunther,Siegmund,8
Gernot,Siegmund,3
Gunther,Ortwin,5
Alberich,Siegfried,6
Ortwin,Siegfried,6
Gernot,Ortwin,7
Gernot,Hagen,29
Gernot,Siegfried,16
Hagen,Siegfried,44
Siegfried,Sifrit,4
Hagen,Sifrit,2
Kriemhild,Swemmel,2
Liudegast,Liudeger,8
Gunther,Liudegast,7
Gunther,Liudeger,9
Hagen,Liudegast,3
Hagen,Liudeger,3
Liudegast,Siegfried,4
Liudeger,Siegfried,8
Hagen,Sindold,4
Hagen,Hunold,3
Gernot,Liudeger,2
Gernot,Volker,5
Gernot,Sindold,3
Gernot,Hunold,3
Siegfried,Sindold,2
Hunold,Siegfried,2
Gernot,Rumold,2
Siegfried,Ute,3
Gernot,Kriemhild,18
Kriemhild,Ute,9
Giselher,Kriemhild,24
Giselher,Siegfried,13
Brünhild,Siegfried,34
Brünhild,Kriemhild,34
Brünhild,Gunther,45
Dankwart,Gunther,10
Dankwart,Siegfried,4
Brünhild,Dankwart,2
Brünhild,Hagen,14
Giselher,Hagen,25
Brünhild,Ortwin,2
Brünhild,Giselher,4
Gere,Ute,3
Gere,Kriemhild,8
Gere,Siegfried,6
Ortwin,Ute,2
Brunhilt,Gunther,6
Brunhilt,Kriemhild,5
Hagen,Kriemhild,76
Kriemhild,Ortwin,4
Eckehart,Kriemhild,8
Siegmund,Ute,2
Sieglinde,Ute,2
Kriemhild,Sieglinde,15
Brunhilt,Siegfried,3
Brünhild,Ute,5
Gere,Gunther,5
Gere,Siegmund,2
Brünhild,Gernot,2
Gere,Gernot,5
Gere,Giselher,3
Brünhild,Gere,2
Eckehart,Siegfried,2
Gunther,Rumold,2
Brünhild,Kriemhilt,2
Kriemhild,Sifrit,2
Gernot,Sieglinde,3
Giselher,Sieglinde,3
Giselher,Ortwin,3
Gunther,Kriemhilt,5
Hagen,Sieglinde,5
Hagen,Kriemhilt,8
Kriemhilt,Siegfried,4
Gernot,Kriemhilt,3
Giselher,Kriemhilt,2
Alberich,Kriemhild,2
Etzel,Kriemhild,73
Etzel,Helche,11
Helche,Kriemhild,15
Helche,Siegfried,2
Giselher,Rüdiger,13
Gernot,Rüdiger,19
Gunther,Rüdiger,20
Etzel,Gunther,12
Kriemhild,Rüdiger,22
Etzel,Siegfried,7
Gotelint,Rüdiger,22
Gotelint,Kriemhild,7
Helche,Rüdiger,6
Etzel,Rüdiger,32
Etzel,Gotelint,8
Gotelint,Helche,3
Hagen,Rüdiger,19
Dankwart,Giselher,5
Dankwart,Gernot,3
Gotelint,Hagen,4
Gotelint,Gunther,3
Hagen,Helche,2
Etzel,Hagen,53
Etzel,Gernot,11
Etzel,Giselher,7
Hagen,Ute,2
Etzel,Kriemhilt,23
Eckehart,Rüdiger,8
Hawart,Iring,9
Iring,Kriemhild,4
Blödel,Kriemhild,3
Blödel,Etzel,8
Blödel,Dietrich,2
Dietrich,Etzel,13
Blödel,Rüdiger,2
Dietrich,Rüdiger,10
Dietrich,Kriemhild,15
Etzel,Ortlieb,4
Helche,Herrat,2
Etzel,Ute,4
Rüdiger,Ute,4
Gunther,Swemmel,2
Etzel,Rumold,2
Kriemhild,Rumold,2
Gunther,Volker,13
Brünhild,Volker,2
Gelpfrat,Hagen,11
Aldrian,Hagen,3
Amelrich,Hagen,2
Else,Hagen,5
Else,Gelpfrat,2
Giselher,Volker,7
Dankwart,Else,2
Dankwart,Rüdiger,3
Gunther,Hildebrand,8
Hildebrand,Wolfhart,7
Dietrich,Wolfhart,8
Dietrich,Hagen,39
Dankwart,Kriemhild,2
Dietrich,Gunther,28
Dietrich,Gernot,2
Etzel,Volker,14
Hagen,Walther,4
Hagen,Hildegund,2
Hildegund,Walther,2
Kriemhild,Volker,9
Dietrich,Volker,5
Hagen,Irnfried,2
Rüdiger,Volker,5
Hagen,Hawart,8
