Source,Target,Weight
Gernot,Gunther,25
Giselher,Gunther,24
Gernot,Giselher,35
Sieglinde,Siegmund,10
Siegfried,Siegmund,20
Siegfried,Sieglinde,7
Gunther,Kriemhild,33
Kriemhild,Sieglinde,4
Kriemhild,Kriemhilt,7
Kriemhild,Siegfried,66
Gunther,Sieglinde,5
Gunther,Siegfried,95
Gunther,Hagen,80
Gunther,Siegmund,8
Gernot,Siegmund,3
Gunther,Ortwin,3
Hagen,Ortwin,15
Nibelung,Schilbung,4
Nibelung,Siegfried,11
Alberich,Siegfried,9
Alberich,Hagen,3
Gernot,Hagen,35
Ortwin,Siegfried,7
Gernot,Ortwin,7
Gernot,Siegfried,21
Hagen,Siegfried,61
Gernot,Sifrit,3
Siegfried,Sifrit,11
Siegmund,Sifrit,3
Hagen,Siegmund,2
Hagen,Sifrit,3
Kriemhild,Swemmel,2
Sieglinde,Sifrit,7
Liudegast,Liudeger,7
Hagen,Liudeger,5
Hagen,Liudegast,3
Liudeger,Siegfried,6
Liudegast,Siegfried,4
Dankwart,Hagen,32
Hagen,Sindold,3
Hagen,Volker,61
Dankwart,Ortwin,4
Ortwin,Sindold,3
Ortwin,Volker,2
Dankwart,Sindold,2
Dankwart,Volker,7
Gunther,Liudeger,4
Gunther,Liudegast,4
Siegfried,Volker,2
Hagen,Hunold,5
Dancwart,Hagen,9
Hunold,Siegfried,4
Dankwart,Siegfried,10
Dancwart,Siegfried,2
Dankwart,Hunold,2
Hunold,Ortwin,3
Dankwart,Gunther,12
Dancwart,Dankwart,4
Gernot,Sieglinde,2
Gernot,Liudeger,3
Gernot,Volker,5
Siegfried,Sindold,3
Hunold,Sindold,5
Gernot,Sindold,3
Gernot,Hunold,4
Ramung,Siegfried,2
Dankwart,Gernot,3
Hagen,Rumold,4
Rumold,Sindold,2
Hunold,Rumold,2
Gernot,Rumold,3
Kriemhild,Ute,11
Siegfried,Ute,4
Gernot,Kriemhild,18
Gernot,Ute,7
Gunther,Ute,4
Giselher,Kriemhild,26
Giselher,Siegfried,17
Brünhild,Gunther,45
Brünhild,Siegfried,43
Brünhild,Hagen,14
Kriemhild,Sifrit,4
Brünhild,Kriemhild,37
Brünhild,Kriemhilt,5
Brünhild,Dankwart,2
Gunther,Sifrit,2
Brünhild,Sifrit,2
Nibelung,Sifrit,2
Brünhild,Ortwin,2
Brünhild,Giselher,4
Ortwin,Rumold,2
Gere,Ute,3
Gere,Kriemhild,9
Gere,Siegfried,7
Ortwin,Ute,2
Brünhild,Ute,6
Brunhilt,Gunther,6
Brunhilt,Kriemhild,4
Brunhilt,Brünhild,2
Kriemhild,Siegmund,26
Hagen,Kriemhild,88
Kriemhild,Ortwin,3
Eckehart,Kriemhild,6
Siegmund,Ute,2
Sieglinde,Ute,2
Gunther,Kriemhilt,6
Brunhilt,Siegfried,3
Kriemhilt,Siegfried,8
Gere,Gunther,7
Gere,Siegmund,2
Brünhild,Gernot,2
Giselher,Ute,10
Giselher,Nibelung,2
Kriemhild,Nibelung,9
Gere,Gernot,5
Gere,Giselher,5
Eckehart,Siegfried,3
Gunther,Rumold,2
Dankwart,Kriemhild,4
Giselher,Ortwin,2
Etzel,Hagen,54
Etzel,Kriemhild,68
Hagen,Kriemhilt,3
Giselher,Hagen,26
Hagen,Nibelung,8
Nibelung,Siegmund,4
Alberich,Giselher,3
Alberich,Gernot,3
Alberich,Kriemhild,2
Giselher,Kriemhilt,3
Gernot,Kriemhilt,2
Etzel,Helche,8
Helche,Kriemhild,12
Helche,Siegfried,2
Etzel,Giselher,8
Gotelint,Kriemhild,7
Etzel,Gotelint,5
Gotelint,Helche,3
Dankwart,Giselher,5
Giselher,Volker,8
Gotelint,Hagen,5
Hagen,Ruedeger,2
Gotelint,Ruedeger,2
Gotelint,Gunther,4
Gunther,Ruedeger,2
Etzel,Gunther,17
Hagen,Helche,2
Etzel,Siegfried,6
Hagen,Ute,2
Kriemhild,Ruedeger,2
Etzel,Gernot,9
Gere,Ortwin,2
Hawart,Iring,12
Hawart,Irnfried,5
Iring,Irnfried,4
Iring,Kriemhild,2
Blödel,Kriemhild,3
Blödel,Etzel,9
Blödel,Dietrich,4
Dietrich,Kriemhild,13
Dietrich,Etzel,16
Etzel,Gibech,2
Etzel,Kriemhilt,4
Swemmel,Warbel,2
Kriemhild,Warbel,2
Etzel,Warbel,3
Etzel,Swemmel,3
Helche,Herrat,4
Herrat,Kriemhild,2
Etzel,Herrat,2
Eckehart,Etzel,2
Etzel,Ute,5
Gunther,Swemmel,2
Etzel,Rumold,2
Gunther,Volker,12
Brünhild,Volker,2
Eckehart,Hagen,3
Hildebrand,Wolfhart,5
Dietrich,Wolfhart,8
Dietrich,Hagen,44
Kriemhild,Volker,9
Dietrich,Gunther,28
Dietrich,Gernot,2
Etzel,Volker,11
Etzel,Nibelung,2
Aldrian,Etzel,2
Aldrian,Hagen,3
Hagen,Walther,6
Dietrich,Volker,5
Dietrich,Giselher,2
Hagen,Hawart,6
Hagen,Iring,28
Hagen,Wolfhart,4
Dankwart,Etzel,6
Etzel,Wolfhart,3
Hildebrand,Kriemhild,3
Hildebrand,Siegfried,2
Dietrich,Siegfried,2
Blödel,Siegfried,6
Blödel,Dankwart,9
Blödel,Hagen,4
Hagen,Ortlieb,3
Dancwart,Etzel,2
Iring,Volker,4
Gunther,Iring,7
Gernot,Iring,2
Giselher,Iring,2
Helfrich,Wolfhart,3
Etzel,Helfrich,2
Dietrich,Helfrich,3
Dietrich,Hildebrand,11
Gunther,Hildebrand,7
Dietrich,Siegestab,3
Wolfbrand,Wolfhart,2
Helfrich,Wolfbrand,2
Hagen,Hildebrand,19
Hildebrand,Volker,6
Volker,Wolfhart,2
Wolfhart,Wolfwin,2
Gunther,Wolfwin,2
Gerbart,Helfrich,2
Gerbart,Wichart,2
Helfrich,Wichart,2
Gunther,Helfrich,2
Gunther,Wolfhart,7
Siegestab,Wolfhart,2
Siegestab,Volker,2
Giselher,Wolfhart,3
Hagen,Ramung,3
Dietrich,Ramung,3
