Source,Target,Weight
Kriemhild,Siegfried,34
Gunther,Siegfried,38
Hagen,Siegfried,26
Hagen,Kriemhild,58
Gunther,Hagen,62
Gunther,Kriemhild,29
Alberich,Siegfried,3
Dankwart,Siegfried,2
Dankwart,Hagen,28
Brünhild,Gunther,32
Brünhild,Hagen,10
Brünhild,Siegfried,27
Brünhild,Kriemhild,36
Giselher,Gunther,14
Giselher,Siegfried,3
Gere,Ortwin,3
Gere,Kriemhild,2
Kriemhild,Ortwin,3
Hagen,Nibelung,2
Giselher,Kriemhild,13
Siegfried,Siegmund,11
Eckehart,Kriemhild,3
Sieglinde,Siegmund,4
Kriemhild,Siegmund,16
Siegfried,Sieglinde,4
Kriemhild,Sieglinde,4
Kriemhild,Sifrit,3
Gunther,Siegmund,4
Gernot,Giselher,25
Gernot,Kriemhild,14
Gernot,Ortwin,3
Giselher,Ortwin,3
Gunther,Liudegast,3
Gunther,Liudeger,4
Liudegast,Liudeger,2
Giselher,Hagen,19
Giselher,Ute,2
Gernot,Ute,2
Gernot,Hagen,15
Alberich,Giselher,2
Alberich,Gernot,2
Alberich,Kriemhild,2
Dankwart,Kriemhild,3
Kriemhild,Ute,2
Etzel,Kriemhild,53
Etzel,Helche,7
Helche,Kriemhild,7
Etzel,Rüdiger,29
Etzel,Gunther,19
Gunther,Rüdiger,15
Gernot,Rüdiger,21
Giselher,Rüdiger,11
Gernot,Gunther,13
Helche,Rüdiger,4
Kriemhild,Rüdiger,15
Gotelint,Rüdiger,16
Gotelint,Kriemhild,7
Hagen,Rüdiger,19
Gere,Giselher,3
Giselher,Volker,8
Gere,Volker,2
Etzel,Gernot,13
Hagen,Helche,2
Etzel,Hagen,37
Gere,Hagen,2
Gere,Gernot,3
Etzel,Giselher,5
Rüdiger,Volker,4
Kriemhild,Volker,13
Kriemhild,Pilgrim,2
Etzel,Gotelint,4
Gibech,Ramung,2
Gibech,Hornboge,2
Iring,Irnfried,5
Iring,Kriemhild,4
Blödel,Kriemhild,2
Blödel,Etzel,5
Dietrich,Etzel,13
Dietrich,Rüdiger,8
Etzel,Gibech,2
Dietrich,Kriemhild,10
Etzel,Ortlieb,2
Gunther,Swemmel,2
Hagen,Rumold,3
Etzel,Rumold,3
Kriemhild,Rumold,2
Dankwart,Gunther,9
Gunther,Volker,11
Hagen,Volker,35
Else,Hagen,7
Gelpfrat,Hagen,8
Else,Gelpfrat,7
Dankwart,Gelpfrat,2
Dankwart,Else,2
Dankwart,Volker,7
Eckehart,Hagen,4
Eckehart,Rüdiger,6
Eckehart,Gotelint,2
Gernot,Volker,4
Dankwart,Gernot,4
Dankwart,Rüdiger,2
Dankwart,Giselher,8
Etzel,Nibelung,2
Etzel,Hildebrand,2
Hildebrand,Wolfhart,5
Dietrich,Wolfhart,5
Dietrich,Hagen,32
Etzel,Volker,10
Aldrian,Etzel,2
Hagen,Walther,4
Dietrich,Volker,3
Dietrich,Gunther,25
Hagen,Hawart,7
Hagen,Iring,24
Hagen,Wolfhart,6
Hawart,Iring,7
Dankwart,Etzel,5
Etzel,Wolfhart,3
Hildebrand,Kriemhild,2
Dietrich,Hildebrand,12
Blödel,Nudung,2
Blödel,Dankwart,11
Blödel,Siegfried,2
Blödel,Hagen,4
Etzel,Ortliep,3
Aldrian,Hagen,3
Hawart,Irnfried,4
Iring,Volker,2
Gunther,Iring,3
Gernot,Iring,3
Giselher,Iring,2
Helferich,Rüdiger,3
Dietrich,Helferich,2
Rüdiger,Wolfhart,4
Hildebrand,Rüdiger,7
Gunther,Hildebrand,7
Dietrich,Siegestab,3
Rüdiger,Siegestab,2
Wolfbrand,Wolfhart,3
Helferich,Wolfbrand,2
Hildebrand,Wolfbrand,2
Hagen,Hildebrand,20
Wolfhart,Wolfwin,2
Gerbart,Hagen,2
Hagen,Wichart,2
Gerbart,Wichart,2
Gerbart,Wolfbrand,2
Wichart,Wolfbrand,2
Gunther,Wolfhart,5
Siegestab,Wolfhart,2
Hildebrand,Volker,3
Giselher,Wolfhart,4
Gernot,Hildebrand,2
