Source,Target,Weight
Sieglinde,Siegmund,7
Gunther,Kriemhild,43
Kriemhild,Sieglinde,5
Gunther,Sieglinde,3
Kriemhild,Siegmund,23
Gunther,Hagen,82
Gunther,Siegmund,8
Gernot,Siegmund,2
Gernot,Gunther,25
Gunther,Siegfried,62
Gunther,Ortwin,5
Hagen,Ortwin,13
Gunther,Nibelung,5
Alberich,Gunther,2
Alberich,Nibelung,2
Gernot,Ortwin,9
Gernot,Hagen,30
Giselher,Gunther,23
Gunther,Liudegast,7
Liudegast,Liudeger,6
Hagen,Liudegast,2
Hagen,Liudeger,4
Dankwart,Gunther,17
Gunther,Volker,11
Dankwart,Hagen,37
Hagen,Sindold,4
Hagen,Volker,56
Dankwart,Ortwin,3
Ortwin,Sindold,4
Ortwin,Volker,3
Dankwart,Sindold,2
Dankwart,Volker,10
Sindold,Volker,3
Gunther,Rüdiger,19
Hannolt,Sindold,2
Hannolt,Ortwin,2
Hagen,Sieglinde,3
Gernot,Sieglinde,2
Gunther,Liudeger,10
Gernot,Liudeger,2
Gernot,Volker,7
Hunold,Sindold,3
Gernot,Sindold,3
Gernot,Hunold,3
Gernot,Siegfried,9
Liudeger,Siegfried,2
Hagen,Siegfried,42
Ortwin,Siegfried,3
Siegfried,Sindold,2
Hagen,Hunold,2
Hagen,Rumold,4
Gernot,Rumold,3
Kriemhild,Siegfried,60
Gernot,Giselher,32
Siegfried,Ute,5
Gernot,Kriemhild,20
Gernot,Ute,8
Gunther,Ute,6
Kriemhild,Ute,10
Giselher,Kriemhild,23
Giselher,Siegfried,11
Brünhild,Hagen,13
Brünhild,Siegfried,31
Brünhild,Kriemhild,37
Brünhild,Gunther,40
Alberich,Siegfried,4
Brünhild,Dankwart,2
Dankwart,Siegfried,4
Siegfried,Siegmund,13
Brünhild,Giselher,4
Ortwin,Ute,2
Brünhild,Ute,6
Nibelung,Siegfried,8
Hagen,Nibelung,7
Kriemhild,Nibelung,16
Hagen,Kriemhild,82
Kriemhild,Ortwin,4
Eckehart,Kriemhild,9
Siegmund,Ute,2
Sieglinde,Ute,2
Siegfried,Sieglinde,2
Gunther,Kriemhilt,3
Kriemhilt,Siegfried,4
Gere,Siegfried,5
Gere,Siegmund,2
Gere,Kriemhild,7
Gere,Gunther,4
Brünhild,Gernot,2
Giselher,Ute,7
Gere,Ute,2
Gere,Gernot,5
Gere,Giselher,4
Brünhild,Gere,2
Eckehart,Siegfried,3
Gunther,Rumold,2
Dankwart,Kriemhild,4
Giselher,Ortwin,3
Nibelung,Siegmund,6
Gernot,Nibelung,2
Gere,Hagen,2
Giselher,Hagen,24
Gere,Ortwin,2
Alberich,Gernot,2
Alberich,Kriemhild,2
Etzel,Kriemhild,80
Etzel,Helche,11
Helche,Kriemhild,12
Helche,Siegfried,2
Giselher,Rüdiger,9
Gernot,Rüdiger,17
Etzel,Gunther,12
Kriemhild,Rüdiger,18
Etzel,Siegfried,6
Gotelint,Kriemhild,7
Gotelint,Rüdiger,20
Helche,Rüdiger,5
Etzel,Rüdiger,39
Hagen,Rüdiger,24
Dankwart,Giselher,8
Giselher,Volker,8
Dankwart,Gernot,3
Gotelint,Hagen,5
Gotelint,Gunther,2
Etzel,Gotelint,5
Hagen,Helche,2
Etzel,Hagen,59
Etzel,Gernot,11
Hagen,Ute,2
Etzel,Giselher,4
Gotelint,Nibelung,2
Eckehart,Rüdiger,7
Hornboge,Ramung,2
Hawart,Iring,6
Hawart,Irnfried,7
Iring,Irnfried,4
Iring,Kriemhild,4
Blödel,Kriemhild,3
Blödel,Etzel,9
Blödel,Dietrich,3
Dietrich,Etzel,16
Dietrich,Kriemhild,14
Dietrich,Rüdiger,10
Etzel,Ortlieb,5
Helche,Herrat,2
Etzel,Ute,5
Rüdiger,Ute,4
Etzel,Rumold,2
Kriemhild,Rumold,2
Kriemhild,Volker,9
Gelpfrat,Hagen,11
Else,Hagen,3
Else,Gelpfrat,3
Dankwart,Else,2
Eckehart,Hagen,2
Rüdiger,Siegfried,2
Rüdiger,Volker,7
Dankwart,Rüdiger,3
Hagen,Hildebrand,21
Giselher,Hildebrand,3
Giselher,Wolfhart,6
Dietrich,Giselher,2
Dietrich,Wolfhart,8
Dietrich,Hagen,45
Dietrich,Siegfried,4
Etzel,Volker,13
Aldrian,Etzel,2
Aldrian,Hagen,2
Hagen,Walther,6
Dietrich,Gunther,26
Dietrich,Volker,4
Hagen,Hawart,5
Hagen,Iring,23
Hagen,Wolfhart,4
Dankwart,Etzel,3
Etzel,Wolfhart,3
Kriemhild,Schrutan,2
Kriemhild,Ramung,2
Hildebrand,Kriemhild,2
Blödel,Siegfried,6
Blödel,Dankwart,7
Blödel,Hagen,4
Etzel,Ortliep,2
Hagen,Ortlieb,4
Gunther,Iring,3
Giselher,Iring,2
Dietrich,Helfrich,2
Rüdiger,Wolfhart,6
Dietrich,Hildebrand,15
Gunther,Hildebrand,8
Hildebrand,Rüdiger,4
Dietrich,Siegestab,3
Helferich,Wolfhart,2
Helmnot,Wolfhart,2
Helmnot,Rüdiger,2
Hildebrand,Wolfhart,6
Hildebrand,Volker,6
Gerbart,Wichart,2
Gunther,Wolfbrand,2
Siegestab,Wolfbrand,2
Gunther,Wolfhart,6
Ute,Wolfhart,2
Hagen,Ramung,3
Dietrich,Ramung,3
