Source,Target,Weight
Gernot,Gunther,23
Giselher,Gunther,18
Gernot,Giselher,35
Sieglinde,Siegmund,10
Siegfried,Siegmund,20
Siegfried,Sieglinde,4
Siegfried,Sælde,4
Siegmund,Sælde,2
Sieglinde,Sælde,2
Kriemhild,Sieglinde,3
Kriemhild,Siegfried,57
Gunther,Sieglinde,3
Gunther,Siegfried,81
Gunther,Hagen,68
Gunther,Siegmund,9
Gernot,Siegmund,3
Gunther,Ortwin,5
Hagen,Ortwin,15
Hagen,Siegfried,55
Nibelung,Siegfried,5
Alberich,Siegfried,9
Alberich,Hagen,2
Gernot,Hagen,32
Ortwin,Siegfried,5
Gernot,Ortwin,7
Gernot,Siegfried,17
Siegfried,Sifrit,2
Siegmund,Sifrit,2
Hagen,Siegmund,3
Gernot,Ute,8
Gunther,Ute,6
Liudegast,Liudeger,7
Gunther,Liudeger,8
Gunther,Liudegast,6
Hagen,Liudegast,3
Hagen,Liudeger,4
Liudegast,Siegfried,4
Liudeger,Siegfried,6
Hagen,Sindold,6
Hagen,Volker,31
Ortwin,Sindold,3
Ortwin,Volker,3
Sindold,Volker,3
Hunold,Volker,2
Hagen,Hunold,5
Hunold,Sindold,5
Dankwart,Liudeger,2
Dankwart,Ortwin,2
Dankwart,Siegfried,6
Gernot,Liudeger,3
Gernot,Volker,6
Siegfried,Sindold,2
Hunold,Siegfried,4
Gernot,Sindold,3
Gernot,Hunold,3
Dankwart,Hagen,25
Dankwart,Gernot,2
Dankwart,Volker,5
Hunold,Ortwin,4
Hagen,Rumold,4
Hunold,Rumold,3
Gernot,Rumold,2
Siegfried,Ute,3
Gernot,Kriemhild,20
Gunther,Kriemhild,38
Kriemhild,Ute,8
Giselher,Siegfried,14
Brünhild,Gunther,43
Brünhild,Siegfried,37
Brünhild,Hagen,15
Brünhild,Kriemhild,37
Dankwart,Gunther,10
Kriemhild,Sælde,7
Brünhild,Dankwart,2
Dankwart,Giselher,4
Giselher,Hagen,21
Brünhild,Ortwin,2
Brünhild,Giselher,4
Gunther,Sælde,6
Ortwin,Rumold,3
Gere,Rumold,2
Gere,Ortwin,4
Gere,Kriemhild,9
Gere,Siegfried,6
Ortwin,Ute,2
Brünhild,Ute,6
Giselher,Kriemhild,25
Kriemhild,Nibelung,10
Hagen,Kriemhild,69
Kriemhild,Ortwin,4
Eckehart,Kriemhild,6
Eckehart,Siegfried,4
Siegmund,Ute,2
Kriemhild,Siegmund,22
Sieglinde,Ute,2
Gunther,Kriemhilt,3
Kriemhilt,Siegfried,4
Gere,Gunther,7
Gere,Siegmund,2
Brünhild,Gernot,2
Giselher,Ute,9
Gere,Ute,2
Gere,Gernot,5
Gere,Giselher,5
Gunther,Rumold,2
Dankwart,Kriemhild,2
Kriemhild,Sifrit,2
Giselher,Ortwin,3
Nibelung,Siegmund,6
Giselher,Nibelung,2
Hagen,Nibelung,3
Alberich,Giselher,2
Alberich,Gernot,3
Alberich,Kriemhild,2
Etzel,Kriemhild,60
Etzel,Helche,13
Helche,Kriemhild,15
Helche,Sælde,2
Etzel,Sælde,2
Helche,Siegfried,2
Gunther,Rüdiger,12
Gernot,Rüdiger,7
Giselher,Rüdiger,6
Etzel,Giselher,8
Kriemhild,Rüdiger,15
Etzel,Siegfried,4
Helche,Rüdiger,6
Etzel,Gotelint,5
Gotelint,Rüdiger,14
Gotelint,Helche,3
Gotelint,Kriemhild,2
Hagen,Rüdiger,13
Giselher,Volker,6
Gotelint,Hagen,3
Etzel,Gunther,17
Hagen,Helche,3
Etzel,Rüdiger,17
Etzel,Hagen,40
Etzel,Gernot,8
Giselher,Helche,2
Hagen,Ute,2
Eckehart,Rüdiger,7
Iring,Kriemhild,4
Blödel,Kriemhild,2
Blödel,Etzel,8
Blödel,Dietrich,3
Dietrich,Etzel,7
Dietrich,Kriemhild,10
Blödel,Rüdiger,2
Dietrich,Rüdiger,4
Dietrich,Giselher,2
Swemmel,Warbel,3
Etzel,Warbel,2
Etzel,Swemmel,2
Helche,Herrat,4
Herrat,Kriemhild,2
Etzel,Herrat,2
Etzel,Ortlieb,3
Etzel,Ute,4
Rüdiger,Ute,2
Etzel,Rumold,2
Kriemhild,Rumold,2
Gunther,Volker,8
Kriemhild,Volker,3
Aldrian,Hagen,2
Else,Hagen,5
Else,Gelpfrat,3
Amelrich,Hagen,2
Gelpfrat,Hagen,10
Dankwart,Else,2
Eckehart,Hagen,3
Rüdiger,Siegfried,2
Rüdiger,Sælde,2
Hagen,Sælde,2
Dankwart,Sælde,2
Sælde,Volker,2
Dietrich,Hagen,11
Rüdiger,Volker,2
Giselher,Sælde,2
Gernot,Sælde,2
Dietrich,Gunther,5
Dietrich,Gernot,2
Hagen,Walther,6
Hagen,Hildegund,3
Hildegund,Walther,2
Hagen,Irnfried,2
Hagen,Hawart,7
Hagen,Iring,27
Hawart,Iring,10
Hawart,Irnfried,4
Blödel,Siegfried,2
Blödel,Dankwart,2
Hagen,Ortlieb,2
Iring,Irnfried,3
Iring,Volker,3
Gunther,Iring,5
Gernot,Iring,3
Giselher,Iring,3
