Source,Target,Weight
Etzel,Kriemhild,76
Gernot,Gunther,20
Gernot,Giselher,33
Gernot,Kriemhild,24
Giselher,Gunther,21
Gunther,Kriemhild,38
Giselher,Kriemhild,30
Gibech,Ute,2
Dankwart,Hagen,45
Hagen,Ortwin,15
Hagen,Hannolt,5
Hagen,Kriemhild,62
Dankwart,Ortwin,4
Dankwart,Hannolt,3
Dankwart,Kriemhild,7
Dankwart,Volker,11
Hannolt,Ortwin,2
Kriemhild,Ortwin,4
Ortwin,Volker,3
Gere,Ortwin,5
Hannolt,Kriemhild,2
Hannolt,Volker,2
Kriemhild,Volker,13
Eckehart,Kriemhild,3
Gere,Kriemhild,6
Gere,Volker,2
Sieglinde,Siegmund,7
Kriemhild,Siegfried,54
Gunther,Siegfried,33
Gunther,Hagen,50
Gunther,Siegmund,3
Gernot,Siegmund,3
Hagen,Siegmund,2
Gernot,Hagen,32
Giselher,Hagen,27
Hagen,Siegfried,32
Ramung,Siegfried,2
Alberich,Siegfried,2
Ortwin,Siegfried,5
Gernot,Ortwin,6
Hagen,Liudegast,2
Liudegast,Siegfried,5
Hagen,Volker,51
Gunther,Liudeger,2
Liudeger,Siegfried,4
Siegfried,Sieglinde,6
Siegfried,Sifrit,4
Sieglinde,Sifrit,7
Hagen,Sifrit,2
Gunther,Liudegast,2
Gernot,Liudeger,2
Gernot,Volker,8
Hannolt,Siegfried,2
Gernot,Hannolt,2
Dankwart,Gernot,5
Hagen,Liudeger,2
Gernot,Siegfried,9
Dankwart,Siegfried,4
Liudegast,Liudeger,3
Kriemhild,Ute,13
Brünhild,Hagen,16
Brünhild,Siegfried,28
Brünhild,Kriemhild,33
Brünhild,Gunther,27
Dankwart,Gunther,7
Brünhild,Dankwart,2
Siegfried,Siegmund,8
Brünhild,Sifrit,2
Brünhild,Ute,3
Gunther,Ute,2
Giselher,Ute,9
Kriemhild,Reinholt,3
Ortwin,Ute,2
Siegmund,Ute,2
Kriemhild,Siegmund,15
Sieglinde,Ute,2
Kriemhild,Sieglinde,6
Gunther,Kriemhilt,2
Kriemhild,Kriemhilt,2
Kriemhilt,Siegfried,3
Gere,Siegfried,3
Gere,Gunther,3
Brünhild,Giselher,2
Giselher,Siegfried,3
Giselher,Ortwin,3
Giselher,Siegmund,2
Gere,Gernot,2
Gere,Giselher,4
Gibech,Kriemhild,2
Etzel,Helche,13
Helche,Kriemhild,15
Etzel,Rüdiger,26
Gunther,Rüdiger,10
Gernot,Rüdiger,12
Giselher,Rüdiger,5
Helche,Rüdiger,5
Kriemhild,Rüdiger,14
Gotelint,Kriemhild,15
Gotelint,Rüdiger,10
Gotelint,Helche,2
Hagen,Rüdiger,16
Etzel,Hagen,56
Etzel,Gunther,16
Dankwart,Giselher,7
Etzel,Gotelint,4
Hagen,Helche,2
Etzel,Siegfried,6
Etzel,Gernot,15
Etzel,Giselher,12
Botelung,Rüdiger,2
Gotelint,Hagen,3
Eckehart,Etzel,2
Rüdiger,Volker,7
Kriemhild,Pilgrim,2
Etzel,Ute,4
Gotelint,Ute,2
Herrat,Kriemhild,5
Herrat,Iring,2
Iring,Irnfried,2
Iring,Kriemhild,4
Irnfried,Kriemhild,2
Blödel,Kriemhild,7
Blödel,Etzel,5
Dietrich,Etzel,7
Dietrich,Kriemhild,5
Blödel,Dietrich,3
Dietrich,Rüdiger,6
Helche,Herrat,3
Etzel,Ortwin,5
Rüdiger,Ute,2
Brünhild,Etzel,3
Hagen,Reinholt,2
Etzel,Reinholt,3
Aldrian,Hagen,4
Gelpfrat,Ilsanl,5
Gelpfrat,Hagen,16
Dankwart,Gelpfrat,3
Dankwart,Ilsanl,3
Eckehart,Rüdiger,6
Eckehart,Gotelint,2
Gunther,Volker,8
Giselher,Volker,7
Dankwart,Rüdiger,2
Gotelint,Volker,3
Hildebrand,Wolfhart,9
Dietrich,Hildebrand,10
Dietrich,Gunther,12
Dietrich,Hagen,15
Etzel,Volker,11
Aldrian,Kriemhild,2
Aldrian,Etzel,2
Hagen,Walther,2
Hildegund,Walther,2
Dietrich,Volker,3
Dietrich,Giselher,2
Irnfried,Volker,3
Hagen,Irnfried,2
Hagen,Iring,23
Hagen,Wolfhart,5
Dankwart,Etzel,6
Etzel,Wolfhart,3
Crist,Hagen,2
Hildebrand,Ramung,6
Hildebrand,Siegfried,6
Blödel,Siegfried,3
Blödel,Dankwart,7
Etzel,Ortliep,2
Blödel,Hagen,4
Dankwart,Nudung,2
Dietrich,Wolfhart,4
Hawart,Irnfried,4
Iring,Volker,4
Gunther,Iring,2
Giselher,Iring,4
Hagen,Hawart,4
Dietrich,Helferich,2
Helferich,Rüdiger,2
Rüdiger,Wolfhart,5
Hildebrand,Rüdiger,3
Hagen,Hildebrand,32
Wolfbrand,Wolfhart,3
Helferich,Wolfbrand,3
Hildebrand,Wolfbrand,2
Helferich,Hildebrand,3
Siegestab,Wolfhart,2
Dietrich,Siegestab,2
Gunther,Hildebrand,8
Gunther,Wolfhart,2
Wolfhart,Wulfinc,2
Giselher,Wolfhart,3
Ute,Wolfhart,3
Hagen,Ramung,5
Gernot,Hildebrand,2
Etzel,Hildebrand,2
