Source,Target,Weight
Kriemhild,Siegfried,1
Gibech,Gunther,2
Gernot,Gibech,2
Gibech,Hagen,2
Gibech,Volker,3
Gernot,Gunther,2
Gunther,Hagen,2
Gunther,Volker,2
Gernot,Hagen,2
Gernot,Volker,2
Hagen,Volker,3
Hagen,Schrutan,2
Schrutan,Volker,2
Ortwin,Volker,10
Asprian,Volker,1
Ortwin,Schrutan,2
Asprian,Schrutan,2
Schrutan,Walther,2
Asprian,Ortwin,2
Ortwin,Walther,2
Asprian,Walther,2
Asprian,Studenfuß,2
Studenfuß,Walther,2
Siegfried,Studenfuß,2
Dietrich,Hildebrand,8
Dietrich,Wolfhart,1
Hildebrand,Wolfhart,9
Hildebrand,Siegfried,4
Ortwin,Siegestab,5
Schrutan,Siegestab,1
Asprian,Witege,7
Hagen,Ortwin,1
Gernot,Helmschrot,8
Gunther,Helmschrot,2
Dietleip,Walther,6
Dietrich,Siegestab,1
Dietleip,Siegestab,4
Hildebrand,Ylsam,4
Gibech,Hildebrand,11
Gibech,Kriemhild,4
Dietleip,Ylsam,1
Witege,Ylsam,1
Heime,Ylsam,1
Dietleip,Witege,1
Dietleip,Heime,1
Dietleip,Eckehart,1
Heime,Witege,1
Eckehart,Witege,1
Helmschrot,Witege,1
Ortwin,Witege,1
Eckehart,Heime,1
Heime,Helmschrot,1
Heime,Ortwin,1
Eckehart,Helmschrot,1
Eckehart,Ortwin,1
Helmschrot,Ortwin,1
Gibech,Wolfhart,1
Ortwin,Wolfhart,1
Gibech,Ortwin,2
Hildebrand,Siegestab,2
Kriemhild,Ortwin,3
Kriemhild,Siegestab,1
Heime,Hildebrand,2
Hildebrand,Witege,4
Asprian,Hildebrand,2
Asprian,Kriemhild,1
Gibech,Studenfuß,1
Else,Hildebrand,1
Hildebrand,Studenfuß,1
Else,Studenfuß,1
Studenfuß,Ylsam,5
Kriemhild,Ylsam,2
Kriemhild,Studenfuß,1
Biterolf,Dietleip,1
Biterolf,Walther,2
Ute,Walther,1
Kriemhild,Volker,1
Hildebrand,Ortwin,2
Hildebrand,Volker,1
Eckehart,Hildebrand,1
Eckehart,Hagen,6
Eckehart,Gernot,1
Gernot,Kriemhild,4
Gernot,Hildebrand,3
Helmschrot,Hildebrand,1
Helmschrot,Kriemhild,2
Hildebrand,Kriemhild,3
Gunther,Kriemhild,1
Eckerich,Ramung,1
Dietrich,Siegfried,7
