Source,Target,Weight
Gibech,Gunther,2
Gernot,Gibech,2
Gibech,Hagen,3
Gibech,Schrutan,2
Gibech,Volker,3
Gernot,Gunther,4
Gunther,Hagen,2
Gunther,Schrutan,1
Gunther,Volker,2
Asprian,Gunther,1
Gernot,Hagen,3
Gernot,Schrutan,1
Gernot,Volker,2
Asprian,Gernot,1
Hagen,Schrutan,1
Hagen,Volker,2
Asprian,Hagen,1
Schrutan,Volker,1
Asprian,Schrutan,1
Ortwin,Schrutan,1
Asprian,Volker,1
Ortwin,Volker,8
Asprian,Ortwin,1
Asprian,Walther,1
Ortwin,Walther,2
Siegfried,Walther,1
Kriemhild,Volker,2
Dietrich,Hildebrand,5
Hildebrand,Siegfried,4
Ortwin,Siegestab,6
Eckehart,Hagen,7
Eckehart,Hildebrand,2
Hagen,Hildebrand,2
Gernot,Hildebrand,2
Gernot,Helmschrot,7
Gunther,Kriemhild,2
Gibech,Kriemhild,3
Dietleip,Dietrich,8
Dietleip,Siegestab,4
Helmschrot,Witege,1
Dietrich,Witege,1
Heime,Witege,1
Eckehart,Witege,1
Ortwin,Witege,1
Dietrich,Helmschrot,1
Heime,Helmschrot,1
Eckehart,Helmschrot,1
Helmschrot,Ortwin,1
Dietrich,Heime,2
Dietrich,Eckehart,1
Dietrich,Ortwin,1
Eckehart,Heime,1
Heime,Ortwin,1
Eckehart,Ortwin,1
Dietrich,Gibech,1
Hildebrand,Wolfhart,9
Gibech,Ortwin,4
Hildebrand,Siegestab,1
Hildebrand,Ortwin,1
Hildebrand,Schrutan,2
Heime,Schrutan,8
Heime,Hildebrand,1
Hildebrand,Witege,2
Asprian,Witege,2
Hildebrand,Ylsam,1
Dietleip,Walther,1
Hildebrand,Volker,1
Eckehart,Kriemhild,1
Gernot,Kriemhild,3
Helmschrot,Hildebrand,2
Helmnot,Helmschrot,2
Gernot,Helmnot,1
Helmschrot,Kriemhild,2
Gunther,Hildebrand,1
Gibech,Hildebrand,15
Hildebrand,Kriemhild,2
Kriemhild,Siegfried,4
Dietrich,Wolfhart,2
Siegfried,Wolfhart,2
Dietrich,Siegfried,8
Dietrich,Kriemhild,2
