Source,Target,Weight
Gernot,Gunther,2
Gernot,Hagen,3
Gunther,Hagen,3
Hagen,Schrutan,1
Ortwin,Schrutan,2
Asprian,Schrutan,2
Schrutan,Walther,1
Asprian,Ortwin,2
Ortwin,Walther,2
Asprian,Walther,2
Asprian,Studenfuß,1
Studenfuß,Walther,1
Siegfried,Studenfuß,1
Dietrich,Kriemhild,5
Gibech,Hildebrand,10
Dietrich,Gibech,3
Gibech,Gunther,1
Gernot,Volker,1
Hagen,Volker,2
Schrutan,Volker,1
Hildebrand,Siegfried,9
Hildebrand,Wolfhart,17
Witege,Wolfhart,2
Hildebrand,Kriemhild,2
Dietrich,Wolfhart,9
Dietrich,Hildebrand,23
Etzel,Hildebrand,4
Asprian,Heime,1
Gunther,Rüdiger,1
Kriemhild,Rüdiger,3
Gunther,Kriemhild,1
Hildebrand,Ylsam,8
Dietrich,Siegestab,2
Biterolf,Siegestab,1
Dietrich,Ylsam,3
Dietleip,Ylsam,2
Dietleip,Dietrich,1
Dietrich,Witege,6
Dietrich,Heime,2
Dietrich,Eckehart,1
Dietleip,Witege,1
Dietleip,Heime,1
Dietleip,Eckehart,2
Heime,Witege,4
Eckehart,Witege,2
Eckehart,Heime,2
Crist,Ylsam,1
Wolfhart,Ylsam,3
Siegestab,Ylsam,4
Hildebrand,Witege,10
Siegestab,Witege,1
Witege,Ylsam,1
Heime,Hildebrand,2
Heime,Wolfhart,1
Heime,Siegestab,1
Heime,Ylsam,2
Hildebrand,Siegestab,3
Siegestab,Wolfhart,2
Helche,Hildebrand,2
Dietrich,Helche,2
Eckehart,Helche,1
Helche,Wolfhart,1
Dietrich,Rüdiger,2
Hildebrand,Rüdiger,3
Dietleip,Wolfhart,1
Dietleip,Siegestab,1
Eckehart,Etzel,1
Etzel,Heime,1
Etzel,Witege,1
Rüdiger,Ylsam,2
Kriemhild,Ylsam,2
Dietrich,Etzel,5
Etzel,Rüdiger,4
Etzel,Helche,1
Etzel,Gibech,1
Reinholt,Siegestab,5
Hagen,Wolfhart,2
Hagen,Hildebrand,1
Ortwin,Siegestab,3
Gibech,Siegestab,1
Gibech,Ortwin,3
Kriemhild,Ortwin,1
Heime,Schrutan,3
Gibech,Heime,1
Gibech,Schrutan,1
Asprian,Witege,6
Gibech,Witege,1
Asprian,Gibech,1
Asprian,Hildebrand,2
Asprian,Dietrich,1
Kriemhild,Witege,1
Dietleip,Walther,1
Dietleip,Gibech,1
Gibech,Walther,3
Hildebrand,Walther,2
Dietleip,Hildebrand,1
Dietleip,Etzel,1
Volker,Ylsam,5
Gibech,Ylsam,2
Gibech,Volker,3
Gernot,Rüdiger,9
Gibech,Kriemhild,3
Gernot,Kriemhild,2
Gernot,Gibech,3
Gernot,Hildebrand,2
Dietrich,Siegfried,11
Gibech,Siegfried,1
Crist,Siegfried,2
Crist,Gibech,1
Kriemhild,Siegfried,7
Dietmar,Dietrich,2
