Source,Target,Weight
Sigi,Óðinn,3
Sigi,Skaði,6
Breði,Skaði,2
Breði,Sigi,2
Sigmundr,Signý,11
Sigmundr,Völsungr,10
Signý,Völsungr,7
Siggeirr,Völsungr,19
Siggeirr,Signý,10
Siggeirr,Sigmundr,11
Signý,Sinfjötli,2
Sinfjötli,Völsungr,3
Sigmundr,Sinfjötli,23
Siggeirr,Sinfjötli,4
Helgi,Sigmundr,2
Borghildr,Helgi,2
Helgi,Hámundr,2
Helgi,Hundingr,11
Helgi,Álfr,3
Eyjólf,Helgi,2
Helgi,Hervarðr,2
Hagbarð,Helgi,2
Hundingr,Álfr,2
Eyjólf,Hundingr,2
Hervarðr,Hundingr,2
Hagbarð,Hundingr,2
Helgi,Sigrún,5
Helgi,Högni,4
Högni,Sigrún,2
Helgi,Höðbroddr,3
Granmarr,Helgi,4
Granmarr,Höðbroddr,5
Höðbroddr,Sveipuðr,2
Höðbroddr,Sveggjuðr,2
Eylimi,Hjördís,3
Eylimi,Sigmundr,9
Hjördís,Sigmundr,7
Lyngvi,Sigmundr,6
Hundingr,Lyngvi,4
Eylimi,Lyngvi,2
Eylimi,Hundingr,2
Hjálprekr,Álfr,2
Hjördís,Álfr,2
Hjálprekr,Hjördís,2
Hjálprekr,Sigurðr,4
Sigurðr,Álfr,3
Hjördís,Sigurðr,2
Reginn,Sigurðr,41
Grani,Sigurðr,17
Grani,Reginn,2
Fáfnir,Sigurðr,20
Fáfnir,Reginn,11
Sigurðr,Völsungr,3
Otr,Óðinn,2
Loki,Otr,3
Hænir,Otr,2
Loki,Óðinn,2
Hænir,Loki,2
Andvari,Loki,2
Sigmundr,Sigurðr,7
Grípir,Sigurðr,4
Fáfnir,Sigmundr,2
Hundingr,Sigurðr,7
Lyngvi,Sigurðr,3
Hjörvarð,Hundingr,2
Hjörvarð,Sigurðr,2
Brynhildr,Fáfnir,2
Agnarr,Óðinn,2
Auðabróðir,Óðinn,2
Brynhildr,Sigurðr,48
Heimir,Sigurðr,3
Brynhildr,Heimir,7
Bekkhildr,Heimir,2
Bekkhildr,Brynhildr,4
Alsviðr,Brynhildr,4
Alsviðr,Sigurðr,8
Brynhildr,Guðrún,33
Guðrún,Sigurðr,29
Gjúki,Gunnarr,3
Gjúki,Högni,2
Gjúki,Guðrún,2
Gunnarr,Högni,27
Gunnarr,Guttormr,3
Gunnarr,Guðrún,8
Guttormr,Högni,2
Guðrún,Högni,8
Gjúki,Grímhildr,4
Buðli,Gjúki,4
Atli,Gjúki,5
Brynhildr,Gjúki,6
Buðli,Grímhildr,2
Atli,Grímhildr,7
Brynhildr,Grímhildr,11
Atli,Buðli,3
Brynhildr,Buðli,2
Atli,Brynhildr,3
Guðrún,Hámundr,2
Guðrún,Haka,2
Guðrún,Hagbarð,2
Guðrún,Sigmundr,3
Grímhildr,Sigurðr,15
Atli,Guðrún,30
Gjúki,Sigurðr,9
Gunnarr,Sigurðr,40
Högni,Sigurðr,13
Grímhildr,Gunnarr,7
Fáfnir,Guðrún,2
Grímhildr,Guðrún,12
Fáfnir,Gunnarr,2
Grímhildr,Sigmundr,3
Gunnarr,Sigmundr,2
Brynhildr,Gunnarr,17
Gunnarr,Heimir,3
Goti,Gunnarr,2
Gunnarr,Hölkvir,2
Grani,Gunnarr,6
Grani,Grímhildr,2
Brynhildr,Áslaug,2
Sigurðr,Áslaug,2
Buðli,Sigurðr,4
Atli,Sigurðr,8
Brynhildr,Rínar,2
Brynhildr,Guttormr,4
Guttormr,Sigurðr,13
Atli,Högni,17
Atli,Sigmundr,2
Guðrún,Svanhildr,8
Guðrún,Oddrún,2
Sigurðr,Svanhildr,4
Atli,Svanhildr,2
Atli,Oddrún,3
Guðrún,Jónakr,2
Jónakr,Svanhildr,4
Jörmunrekr,Svanhildr,2
Guðrún,Jörmunrekr,3
Gunnarr,Jörmunrekr,2
Guðrún,Siggeirr,2
Atli,Gunnarr,8
Guðrún,Vingi,4
Gunnarr,Vingi,2
Glaumvör,Gunnarr,4
Högni,Sólarr,2
Högni,Snævarr,2
Atli,Hjalla,2
Hjalla,Högni,4
Gunnarr,Hjalla,2
Hamðir,Sörli,2
Erpr,Hamðir,3
Erpr,Sörli,2
Jónakr,Randvé,2
Bikki,Svanhildr,3
Randvé,Svanhildr,2
Gunnarr,Hamðir,2
Hamðir,Högni,2
