Source,Target,Weight
Etzel,Gibech,5
Dietrich,Etzel,8
Dietrich,Hildebrand,41
Gibech,Gunther,7
Gernot,Gunther,4
Gunther,Kriemhild,1
Gernot,Kriemhild,1
Dietrich,Gibech,5
Gunther,Hagen,1
Aldrian,Gunther,1
Gernot,Hagen,1
Aldrian,Gernot,1
Gernot,Walther,1
Aldrian,Hagen,1
Hagen,Walther,2
Hagen,Volker,1
Else,Hagen,1
Brünhild,Hagen,1
Aldrian,Walther,1
Aldrian,Volker,1
Aldrian,Else,1
Aldrian,Brünhild,1
Volker,Walther,1
Else,Walther,1
Brünhild,Walther,1
Else,Volker,2
Brünhild,Volker,2
Brünhild,Else,2
Asprian,Schrutan,2
Reinholt,Schrutan,1
Herbrant,Schrutan,2
Herbrant,Reinholt,1
Reinholt,Siegfried,1
Herbrant,Siegfried,1
Siegfried,Wolfhart,3
Hildebrand,Wolfhart,19
Alphart,Kriemhild,1
Alphart,Wolfhart,1
Witege,Wolfhart,5
Kriemhild,Wolfhart,3
Hildebrand,Kriemhild,4
Dietrich,Heime,1
Heime,Hildebrand,4
Dietrich,Kriemhild,9
Kriemhild,Siegfried,9
Dietrich,Siegfried,12
Siegestab,Wolfhart,10
Hildebrand,Siegestab,11
Rüdiger,Siegestab,1
Heime,Siegestab,2
Heime,Rüdiger,2
Rüdiger,Witege,5
Heime,Witege,4
Hildebrand,Ylsam,6
Eckehart,Ute,2
Dietrich,Rüdiger,2
Dietrich,Ylsam,3
Dietrich,Wolfhart,13
Wolfhart,Ylsam,4
Siegestab,Ylsam,2
Dietrich,Siegestab,1
Etzel,Hildebrand,5
Etzel,Wolfhart,2
Etzel,Siegestab,2
Etzel,Ylsam,2
Etzel,Helche,2
Etzel,Rüdiger,3
Hildebrand,Rüdiger,7
Else,Hildebrand,1
Else,Siegestab,1
Else,Wolfhart,1
Else,Heime,1
Siegestab,Witege,1
Heime,Wolfhart,1
Dietrich,Witege,3
Dietleip,Dietrich,2
Dietrich,Fruote,2
Dietleip,Fruote,2
Dietleip,Etzel,1
Etzel,Fruote,1
Etzel,Kriemhild,3
Reinholt,Siegestab,25
Reinholt,Wolfhart,2
Gibech,Hildebrand,12
Gunther,Hildebrand,4
Fruote,Hildebrand,5
Fruote,Gunther,11
Fruote,Gernot,1
Hagen,Rüdiger,1
Rüdiger,Wolfhart,1
Hagen,Wolfhart,21
Walther,Wolfhart,1
Hartung,Wolfhart,1
Hartung,Walther,3
Asprian,Dietleip,1
Asprian,Witege,5
Schrutan,Witege,1
Heime,Schrutan,3
Heime,Herbrant,1
Dietrich,Volker,1
Dietrich,Else,1
Brünhild,Dietrich,1
Volker,Ylsam,5
Else,Ylsam,1
Brünhild,Ylsam,1
Brünhild,Siegfried,4
Siegfried,Ylsam,1
Dietrich,Reinholt,2
Gibech,Reinholt,4
Gibech,Siegestab,2
Hagen,Hildebrand,3
Asprian,Gibech,2
Gibech,Hagen,1
Asprian,Hagen,2
Hildebrand,Witege,10
Asprian,Hildebrand,1
Dietleip,Gibech,1
Dietleip,Hildebrand,4
Fruote,Gibech,1
Gernot,Rüdiger,6
Gernot,Gibech,3
Gibech,Rüdiger,1
Gernot,Hildebrand,5
Crist,Gernot,1
Crist,Kriemhild,1
Gibech,Walther,2
Gibech,Hartung,1
Hildebrand,Walther,3
Kriemhild,Walther,1
Dietrich,Herbrant,5
Gibech,Herbrant,2
Herbrant,Hildebrand,4
Hildebrand,Reinholt,5
Reinholt,Ylsam,1
Kriemhild,Ylsam,1
Gibech,Volker,2
Gibech,Ylsam,2
Gibech,Siegfried,6
Gibech,Kriemhild,1
Hildebrand,Siegfried,12
Dietrich,Hagen,1
Dietmar,Dietrich,1
Brünhild,Kriemhild,4
Siegfried,Witege,1
Gibech,Witege,1
Etzel,Siegfried,2
Gunther,Siegfried,1
Gernot,Siegfried,1
Kriemhild,Schrutan,1
Asprian,Herbrant,1
Herbrant,Kriemhild,1
Asprian,Kriemhild,1
Hagen,Kriemhild,1
Dietrich,Ermenrich,1
Dietrich,Hartung,1
Fruote,Hartung,1
Dietleip,Hartung,1
Dietleip,Ylsam,2
Dietrich,Ute,1
Hildebrand,Ute,1
