Source,Target,Weight
Brünhild,Kriemhild,3
Kriemhild,Siegfried,9
Brünhild,Siegfried,4
Gunther,Siegfried,5
Hagen,Kriemhild,23
Hagen,Siegfried,11
Gunther,Hagen,37
Etzel,Siegfried,7
Etzel,Helche,2
Etzel,Kriemhild,25
Dankwart,Gunther,14
Dankwart,Hagen,23
Etzel,Hagen,42
Aldrian,Etzel,2
Aldrian,Hagen,3
Gernot,Hagen,7
Hagen,Volker,43
Gernot,Gunther,10
Giselher,Hagen,6
Gotelint,Rüdiger,3
Giselher,Rüdiger,11
Gernot,Giselher,7
Etzel,Rüdiger,17
Gunther,Rüdiger,13
Giselher,Gunther,8
Gernot,Rüdiger,15
Hagen,Rüdiger,12
Dietrich,Hildebrand,8
Hagen,Hildebrand,20
Giselher,Hildebrand,3
Dietrich,Giselher,3
Dietrich,Wolfhart,8
Dietrich,Hagen,29
Dietrich,Rüdiger,9
Dankwart,Rüdiger,2
Rüdiger,Volker,4
Gunther,Volker,8
Gunther,Kriemhild,4
Dankwart,Gernot,3
Gernot,Volker,4
Gernot,Kriemhild,2
Dankwart,Giselher,6
Giselher,Volker,5
Giselher,Kriemhild,2
Else,Hagen,2
Dankwart,Volker,9
Dankwart,Siegfried,2
Dankwart,Kriemhild,5
Kriemhild,Volker,6
Etzel,Gunther,12
Dietrich,Gunther,24
Etzel,Kriemhilt,21
Etzel,Volker,15
Kriemhilt,Volker,3
Hagen,Kriemhilt,6
Dietrich,Etzel,10
Dietrich,Kriemhilt,3
Kriemhild,Sifrit,5
Aldrian,Kriemhild,2
Hagen,Walther,4
Hagen,Wolfhart,9
Dankwart,Etzel,6
Etzel,Wolfhart,2
Sifrit,Volker,3
Hagen,Sifrit,2
Blödel,Dankwart,11
Blödel,Etzel,3
Blödel,Hagen,6
Etzel,Ortwin,5
Ortliep,Ortwin,2
Etzel,Ortliep,2
Hagen,Ortwin,3
Kriemhilt,Siegfried,3
Etzel,Gernot,3
Rüdiger,Ute,2
Etzel,Ute,2
Dietrich,Volker,5
Hagen,Iring,10
Hawart,Iring,8
Hagen,Hawart,5
Gernot,Iring,2
Giselher,Iring,2
Dankwart,Hawart,2
Kriemhild,Rüdiger,2
Helferich,Rüdiger,2
Dietrich,Helferich,3
Hildebrand,Rüdiger,6
Gunther,Hildebrand,8
Dietrich,Siegestab,2
Rüdiger,Wolfwin,2
Rüdiger,Wolfhart,5
Helferich,Wolfhart,2
Helmnot,Rüdiger,2
Helferich,Ritschart,2
Helferich,Hildebrand,2
Hildebrand,Wolfhart,7
Gunther,Wolfhart,7
Hildebrand,Volker,6
Hagen,Wolfwin,3
Volker,Wolfwin,2
Dankwart,Wichart,2
Dankwart,Ritschart,3
Dankwart,Gerbart,3
Gerbart,Helferich,2
Gerbart,Gunther,2
Dankwart,Helferich,5
Gunther,Helferich,4
Gunther,Sigebant,3
Giselher,Wolfhart,4
Hildebrand,Ramung,2
Hagen,Ramung,2
Hildebrand,Kriemhild,2
