Source,Target,Weight
Gibiche,Gunther,5
Gunther,Hagen,19
Heriricus,Hildegunt,5
Etzel,Heriricus,2
Etzel,Walther,17
Alphere,Walther,5
Alphere,Heriricus,2
Heriricus,Walther,3
Hagen,Hildegunt,4
Hagen,Walther,26
Etzel,Hagen,2
Hildegunt,Walther,18
Etzel,Hildegunt,3
Helche,Hildegunt,2
Helche,Walther,2
Etzel,Helche,3
Bachus,Walther,3
Gunther,Walther,26
Gunther,Hildegunt,3
Camalo,Walther,3
Camalo,Gunther,5
Gunther,Hagathio,2
Hagathio,Hagen,3
Patavrid,Scaramundus,2
Camalo,Scaramundus,2
Kimo,Scaramundus,2
Scaramundus,Walther,5
Pandarus,Werinhardus,2
Martius,Walther,2
Ekivrid,Walther,2
Hadawardus,Walther,2
Hagen,Patavrid,5
Patavrid,Walther,4
Randolf,Walther,3
Helmond,Trogus,2
Helmond,Tanastus,2
Hagen,Helmond,2
Tanastus,Trogus,2
Tanastus,Walther,2
Gunther,Patavrid,2
Fortuna,Walther,2
